year,tmID,principal component 1,principal component 2,playoff
9,HOU,1.4674571021086646,0.25562845947867735,0
1,IND,-0.9890339647489195,0.2786018102464735,0
2,IND,-1.4619235079965804,0.39705668999136,0
3,IND,-2.0929253713231817,0.21554866066470316,1
4,IND,-0.3231444611001352,-0.004645505610141308,0
5,IND,-1.1664275932279404,0.16639532856095118,0
6,IND,-1.5485160407795366,-0.15463500603172511,1
7,IND,0.13300422455042463,-0.33254199690649244,1
8,IND,0.6002231745333132,-0.386497662303461,1
9,IND,0.5816228059406582,0.10035380441402646,1
10,IND,1.1052673865300964,0.012195651627412745,1
1,LAS,-0.3416415501856748,-0.7616922441304493,1
2,LAS,0.07994360245238726,-1.106555005195232,1
3,LAS,0.10281319325247748,-0.7387654034126617,1
4,LAS,0.706715697089029,-0.11975419708018094,1
5,LAS,0.5952267927465467,-0.4202989866776553,1
6,LAS,-0.0640513010217412,-0.09453554800079701,1
7,LAS,1.4546188814510779,-0.43574071694339045,1
8,LAS,1.7563293038081562,0.5558562852011552,0
9,LAS,1.5688163217233988,-0.2545090847023357,1
10,LAS,1.478488285849736,-0.36676218132858607,1
1,MIA,-3.6123055844133605,0.5608361477039407,0
2,MIA,-2.8298268356803122,-0.5512804834330461,1
3,MIA,-2.025651154368856,-0.10335212865375917,0
1,MIN,-1.4556525506102937,0.08799240615677655,0
2,MIN,-2.48126041012838,0.6676686780473153,0
3,MIN,-2.4088335521933177,0.26671956161754445,0
4,MIN,0.14074866529504407,-0.084796432243583,1
5,MIN,-1.5394347660006495,0.14653179316765752,1
6,MIN,-0.9650286915701649,0.24637487432381586,0
7,MIN,1.829841920461317,0.6357862375038191,0
8,MIN,2.321143593772045,0.4109960344556869,0
9,MIN,2.701740240714143,0.02784325447798907,0
10,MIN,2.5835482359057935,0.6786582353173692,0
1,NYL,-1.7816822941639505,-0.5168236706219681,1
2,NYL,-1.3596967407707836,-0.5955585813130169,1
3,NYL,-2.1079213809279764,-0.4030964260459982,1
4,NYL,-0.8015739623510165,-0.03908137360232838,0
5,NYL,-0.7223775327853857,0.12738367541230966,1
6,NYL,-0.5341387500170984,-0.044456250781572844,1
7,NYL,0.44538916565143805,1.226281004838203,0
8,NYL,0.4995170617158045,0.3633665210959131,1
9,NYL,1.2608441163983812,0.06193870960216498,1
10,NYL,1.0240308206422577,0.19378726422652454,0
1,ORL,-0.8879318693318736,-0.12079070180640154,1
2,ORL,-1.5580265701123188,0.2250045468705354,0
3,ORL,-0.8915073745209431,0.03777164914641032,0
1,PHO,-1.31623972907223,-0.45998343799247265,1
2,PHO,-1.8359900001919953,0.19838270798541394,0
3,PHO,-1.3046711223257703,0.4507447661168231,0
4,PHO,-1.2861779741400343,0.32499548257019784,0
5,PHO,-0.7056872087862116,-0.18963833222763446,0
6,PHO,-0.27348293159446696,0.15367917715060003,0
7,PHO,4.141248419045878,-0.1429085208470976,0
8,PHO,4.25176578523675,-0.04725833403026257,1
9,PHO,4.5054880237168335,0.3082196044779085,0
10,PHO,5.311335419931011,-0.12270304465902712,1
1,POR,-1.3352190556319965,0.590381154970801,0
2,POR,-1.9276537829067992,0.47292775941206405,0
3,POR,-0.9608703241477708,-0.10359750066824823,0
1,SAC,-0.40468079975050447,-0.7278339690746648,1
2,SAC,-0.8748434898171622,-0.5813189806133169,1
3,SAC,-1.201925214526742,0.4398092996779373,0
4,SAC,-0.5110876490168393,-0.45457837046682276,1
5,SAC,-0.33907979250977704,-0.44909484198295463,1
6,SAC,-0.7912315686314493,-0.8755713387188809,1
7,SAC,0.9010698574975335,-0.40412597963738905,1
8,SAC,0.9364464603898869,-0.024243545116432605,1
9,SAC,1.0758859582344877,0.3736060779013675,1
10,SAC,1.9418310381885033,0.3632783402648315,0
4,SAS,-0.6849299709388704,0.781000023444721,0
5,SAS,-0.758900727530248,0.47822286656303353,0
6,SAS,-1.1159090526588342,0.9365497527465874,0
7,SAS,1.3137108935220674,0.33668099017581066,0
8,SAS,1.0696117393962978,-0.11944288434522729,1
9,SAS,0.8352330677510429,-0.2663904074941679,1
10,SAS,1.8177022774144211,0.31020259050034454,1
1,SEA,-3.094980898901192,1.0604010565792776,0
2,SEA,-2.9980577983315584,0.38186825441924127,0
3,SEA,-1.5086940400941908,-0.3381190245387872,1
4,SEA,0.032688522706697566,-0.5160587872681418,0
5,SEA,0.014096039147127322,-0.5182688095510187,1
6,SEA,0.7255170814222123,-0.27301342709050697,1
7,SEA,1.8520113377437728,-0.16733208715097947,1
8,SEA,2.263312550112286,-0.042368526886352,1
9,SEA,0.6638219725729023,-0.2315668729716421,1
10,SEA,1.0222630002320743,-0.10379555076162116,1
1,UTA,0.194984391703692,0.09854612647233704,0
2,UTA,-1.1360323163230919,-0.1422635413005835,1
3,UTA,-0.04373327269061169,-0.04666543833974193,1
1,WAS,-1.0013476407081254,-0.11766821089316436,1
2,WAS,-2.580204545991611,0.19157196025823356,0
3,WAS,-1.5263735400482386,-0.2926821097666089,1
4,WAS,0.4647285197563124,0.3123243270614206,0
5,WAS,0.02635044629333857,0.04413654385546712,1
6,WAS,-0.488045690849398,-0.013093243610491693,0
7,WAS,2.6688026452692193,-0.31111330481084576,1
8,WAS,1.2950359981250197,0.5965851501429899,0
9,WAS,0.7286678513090221,0.6887980625982857,0
10,WAS,1.6314334875005099,0.22676050133559084,1
